type_encoded,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],temp_difference,power,tool_wear_ratio,Machine failure,TWF,HDF,PWF,OSF,RNF
1,298.1,308.6,1551,42.8,0,10.5,6.951078534031413,0.0,0,0,0,0,0,0
0,298.2,308.7,1408,46.3,3,10.5,6.826219895287958,0.011857707509881422,0,0,0,0,0,0
0,298.1,308.5,1498,49.4,5,10.399999999999977,7.748816753926701,0.019762845849802372,0,0,0,0,0,0
0,298.2,308.6,1433,39.5,7,10.400000000000034,5.927068062827225,0.02766798418972332,0,0,0,0,0,0
0,298.2,308.7,1408,40.0,9,10.5,5.897382198952879,0.03557312252964427,0,0,0,0,0,0
1,298.1,308.6,1425,41.9,11,10.5,6.252094240837696,0.043478260869565216,0,0,0,0,0,0
0,298.1,308.6,1558,42.4,14,10.5,6.917193717277486,0.05533596837944664,0,0,0,0,0,0
0,298.1,308.6,1527,40.2,16,10.5,6.42779057591623,0.06324110671936758,0,0,0,0,0,0
1,298.3,308.7,1667,28.6,18,10.399999999999977,4.992272251308901,0.07114624505928854,0,0,0,0,0,0
1,298.5,309.0,1741,28.0,21,10.5,5.104502617801047,0.08300395256916997,0,0,0,0,0,0
2,298.4,308.9,1782,23.9,24,10.5,4.4596649214659685,0.09486166007905138,0,0,0,0,0,0
2,298.6,309.1,1423,44.3,29,10.5,6.600931937172774,0.11462450592885376,0,0,0,0,0,0
1,298.6,309.1,1339,51.1,34,10.5,7.164701570680629,0.13438735177865613,0,0,0,0,0,0
1,298.6,309.2,1742,30.0,37,10.599999999999966,5.472251308900524,0.14624505928853754,0,0,0,0,0,0
0,298.6,309.2,2035,19.6,40,10.599999999999966,4.176544502617801,0.15810276679841898,0,0,0,0,0,0
0,298.6,309.2,1542,48.4,42,10.599999999999966,7.814952879581152,0.16600790513833993,0,0,0,0,0,0
1,298.6,309.2,1311,46.6,44,10.599999999999966,6.397130890052356,0.17391304347826086,0,0,0,0,0,0
1,298.7,309.2,1410,45.6,47,10.5,6.732565445026178,0.1857707509881423,0,0,0,0,0,0
